grade,ge100,ge101,size,fgpa,gender,msat,vsat,am1,am2,am3
2.7,2.7,2.3,32,2.27,Male,660,500,1,0,0
3.3,4,4,32,2.8269999,Male,690,720,0,1,0
3.3,4,3,39,3.8110001,Female,530,610,1,0,0
4,3,3,19,3.2750001,Male,590,460,0,1,0
2.3,2,1.7,27,2.244,Male,540,490,0,1,0
3,3,3,18,3.02,Male,650,530,1,0,0
2.7,2.7,3.7,33,3.4749999,Female,520,460,0,0,0
2.3,3,3,19,2.4119999,Male,530,670,0,0,0
2.7,3.3,3,32,2.796,Male,620,530,0,1,0
1.3,2,2,19,2.0420001,Male,490,530,0,1,0
2,2,2,18,2.2219999,Male,480,570,1,0,0
3,2,4,31,3.2,Female,670,600,0,1,0
3,3.7,2.3,29,2.2060001,Female,560,470,0,1,0
2.7,2,2,33,2.7090001,Male,650,520,0,1,0
3,2,1.7,31,2.618,Male,680,490,1,0,0
2.3,4,4,23,3.76,Male,620,530,0,1,0
3,2.3,1.7,18,2.323,Male,640,620,0,1,0
3,3,2.7,33,3.0280001,Male,640,550,0,0,0
3.7,3,4,33,2.8900001,Male,680,570,0,1,0
3,3,2.7,19,2.7809999,Male,560,660,0,1,0
2.7,3.7,3,36,2.8329999,Male,740,530,1,0,0
4,4,4,33,3.7679999,Female,670,590,0,1,0
4,3.3,3,22,2.8199999,Female,630,530,1,0,0
4,4,4,19,3.803,Female,650,630,0,1,0
2.3,4,2.7,39,3.3829999,Male,630,480,0,1,0
3.7,3.3,2.3,29,2.915,Male,700,660,0,1,0
4,3.3,3,24,3.6099999,Female,520,610,1,0,0
3.3,3.3,2.7,21,3.3199999,Male,590,570,0,1,0
3,2.3,2.3,20,2.6129999,Male,590,700,0,1,0
2.7,1,2,20,2.0120001,Male,570,420,1,0,0
3,3.7,3,18,3.6530001,Male,730,590,1,0,0
2,2.3,2,27,2.267,Male,660,610,1,0,0
3.3,3.3,3,21,2.688,Male,620,580,0,1,0
3,4,3.3,32,2.8929999,Male,540,480,1,0,0
2,3.3,3,19,3.237,Male,690,520,0,1,0
3,2.7,1.7,21,2.5799999,Female,600,620,0,1,0
4,3,3.7,24,2.6800001,Male,660,520,0,1,0
3.3,4,3,32,3.2219999,Male,570,490,0,0,1
2.3,3,2.3,24,3.207,Male,670,580,1,0,0
2,2.7,2.7,31,2.9690001,Male,650,680,0,1,0
4,4,4,22,2.559,Male,680,660,1,0,0
1.3,2,.69999999,29,2.4719999,Female,440,510,1,0,0
2,2.3,2.7,28,2.092,Male,630,500,1,0,0
3.7,3.7,4,28,3.4059999,Female,660,500,0,0,0
4,3.3,3,31,3.326,Male,540,510,1,0,0
2,2,1.7,35,2.3299999,Female,660,620,1,0,0
2,2.7,3,23,2.559,Male,550,490,0,1,0
3.3,4,2.7,32,2.6500001,Male,570,550,1,0,0
3.7,3,3.3,20,3.6199999,Female,700,610,0,0,0
1.7,2,1.7,32,2.1630001,Male,600,500,1,0,0
3,2,1.7,31,2.444,Male,650,490,1,0,0
2.3,2.7,2.3,16,2.1760001,Male,640,570,1,0,0
2,3,2,32,2.8859999,Female,580,630,1,0,0
3.7,3.7,3,21,3.4070001,Female,620,610,1,0,0
2.7,4,2.7,32,3.796,Female,640,480,0,1,0
2.3,3,3,21,3.4679999,Female,530,550,1,0,0
3.3,4,3,27,3.342,Female,680,540,0,1,0
4,2.7,3.3,33,3.575,Male,690,470,1,0,0
3,2,3,32,2.4849999,Male,660,570,0,0,0
1.7,2,1.7,28,2.1400001,Male,660,640,1,0,0
