group_id,GracePeriod,loanamount,Age,Married,Years_Education,HH_Size,Shock_Any,Has_Business,Homeowner
167,0,8000,24,1,7,6,1,1,1
167,0,8000,39,1,10,3,0,1,1
168,1,9000,28,1,12,3,1,1,1
168,1,9000,40,1,12,4,1,1,1
168,1,6000,34,1,8,4,1,1,1
168,1,6000,46,1,11,4,0,1,1
168,1,6000,34,1,8,4,1,1,1
169,1,8000,38,1,5,4,0,0,0
169,1,8000,26,1,7,5,0,1,1
169,1,8000,26,1,5,5,0,1,0
169,1,8000,33,1,6,4,0,0,0
169,1,8000,28,1,2,6,0,0,0
